id;attachment_type;file_name;file_path;file_type;file_size;checksum;uploaded_date;file;file_content_type;transcript;duration_seconds;language;deleted;updated_date;deleted_date;ticket_id;uploaded_by_id
1;AUDIO;whenever natural those;wasabi slap;however cleaner ha;26102;whereas;2026-08-17T16:57:05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;27807;ah insist ;false;2026-08-17T16:31:09;2026-08-17T13:30:41;1;1
2;VIDEO;gladly;sizzling though;next abnegate provided;1705;minus unnecessarily regularly;2026-08-17T21:11:10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;721;kettledrum;true;2026-08-17T11:04:14;2026-08-17T16:17:36;2;2
3;AUDIO;while apt season;ugh;which daily now;31796;elevation stay;2026-08-18T01:34:22;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;28968;immediatel;true;2026-08-18T02:27:37;2026-08-18T00:45:19;3;1
4;COMPLETION_REPORT;boo;while zowie celsius;talkative;12323;clamor bruised detective;2026-08-17T10:17:46;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;22732;simple gra;false;2026-08-17T16:15:07;2026-08-18T01:53:50;4;1
5;IMAGE;generally usually inspection;but misfire kettledrum;essay passionate;27894;as sympathetically misjudge;2026-08-18T02:08:44;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;31285;bob;false;2026-08-17T14:01:35;2026-08-17T19:40:53;5;2
6;VIDEO;ugh bonnet into;among miskey sympathetically;longboat;25428;worthy or hassle;2026-08-17T13:14:33;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;3059;mindless;false;2026-08-17T20:43:58;2026-08-18T02:58:06;6;2
7;CONTRACTOR_UPDATE;whenever;pause injunction;gee;14927;alongside celsius;2026-08-17T13:31:02;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;17557;gah;false;2026-08-18T01:46:02;2026-08-17T23:22:50;7;1
8;PDF;pish sympathetically upbeat;likewise oh singing;adventurously psst oof;21608;unit funny;2026-08-18T09:43:36;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;6928;defrag;false;2026-08-18T10:01:42;2026-08-18T07:25:52;8;1
9;VIDEO;what openly;beret woot;geez;8631;boo;2026-08-17T11:29:57;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;31436;unnecessar;false;2026-08-18T09:05:57;2026-08-18T02:00:11;9;2
10;CONTRACTOR_UPDATE;instead plugin;makeover;trained;6656;zowie alongside;2026-08-18T05:04:50;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;19575;poorly hel;true;2026-08-18T05:31:52;2026-08-17T18:01:04;10;1
11;AUDIO;almighty after;frantically;excluding quarterly;27594;for genuine during;2026-08-17T20:13:32;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;12102;gadzooks b;false;2026-08-17T20:01:01;2026-08-17T13:34:24;11;1
12;IMAGE;thoroughly finally;meanwhile stale;mysteriously effector plus;2574;solace furthermore eternity;2026-08-17T22:11:37;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;22883;boo defend;true;2026-08-18T00:58:26;2026-08-18T08:56:26;12;1
13;AUDIO;yippee equate woot;till stable recovery;ew ugh overplay;1876;inside;2026-08-17T21:16:16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;6021;what;false;2026-08-17T20:22:05;2026-08-17T10:58:19;13;2
14;CONTRACTOR_UPDATE;boo;sentimental;gadzooks sans;17721;gleefully via;2026-08-17T23:23:04;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;30341;infinite w;false;2026-08-17T18:18:55;2026-08-17T11:05:50;14;1
15;CONTRACTOR_UPDATE;inasmuch;for classic;fog psst now;27804;continually surprise;2026-08-18T03:04:51;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;4522;er vastly ;true;2026-08-18T02:08:34;2026-08-17T23:42:24;15;1
16;CONTRACTOR_UPDATE;anenst ugh vaguely;as rue;voluminous slather cycle;3778;deduction;2026-08-18T00:55:18;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;8190;superb ext;true;2026-08-18T00:47:40;2026-08-17T22:53:01;16;1
17;DOCUMENT;of supposing;now red across;whoever obediently;26128;damaged;2026-08-17T19:32:44;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2682;vice antiq;true;2026-08-17T17:53:16;2026-08-17T11:59:52;17;1
