id;title;content;created_date;updated_date;deleted;deleted_date;ticket_id;user_id
1;devise inasmuch;../fake-data/blob/hipster.txt;2026-07-29T23:42:18;2026-07-29T16:22:51;false;2026-07-30T05:31:30;1;1
2;that for yahoo;../fake-data/blob/hipster.txt;2026-07-29T19:48:48;2026-07-29T20:48:44;true;2026-07-30T00:09:38;2;2
3;hourly fuss;../fake-data/blob/hipster.txt;2026-07-30T01:52:05;2026-07-29T20:16:03;false;2026-07-30T05:46:16;3;1
4;outside indolent besides;../fake-data/blob/hipster.txt;2026-07-30T06:40:47;2026-07-30T06:23:25;false;2026-07-29T14:05:54;4;1
5;brown an vice;../fake-data/blob/hipster.txt;2026-07-30T04:25:20;2026-07-29T09:07:54;true;2026-07-29T18:07:33;5;1
6;transom construe concerning;../fake-data/blob/hipster.txt;2026-07-30T03:36:23;2026-07-30T00:10:39;true;2026-07-29T09:45:42;6;1
7;coil championship;../fake-data/blob/hipster.txt;2026-07-29T19:59:44;2026-07-30T01:28:50;true;2026-07-30T02:30:03;7;1
8;ouch;../fake-data/blob/hipster.txt;2026-07-29T14:16:53;2026-07-29T17:33:41;true;2026-07-29T10:15:12;8;2
9;linseed kissingly slowly;../fake-data/blob/hipster.txt;2026-07-30T02:43:29;2026-07-30T06:51:27;false;2026-07-29T20:26:34;9;1
10;ceramics admonish;../fake-data/blob/hipster.txt;2026-07-29T23:36:50;2026-07-30T04:29:29;false;2026-07-30T00:01:56;10;2
11;atop;../fake-data/blob/hipster.txt;2026-07-30T03:46:23;2026-07-29T18:16:53;true;2026-07-29T12:34:16;11;1
12;thankfully er pish;../fake-data/blob/hipster.txt;2026-07-29T16:34:36;2026-07-29T22:54:47;true;2026-07-30T04:41:02;12;1
13;optimal bleakly;../fake-data/blob/hipster.txt;2026-07-29T20:45:48;2026-07-29T08:44:26;true;2026-07-29T08:34:56;13;2
14;personalise unethically;../fake-data/blob/hipster.txt;2026-07-30T00:12:35;2026-07-29T13:59:27;true;2026-07-29T20:03:15;14;2
15;knavishly blah concerned;../fake-data/blob/hipster.txt;2026-07-29T20:18:05;2026-07-29T19:11:11;false;2026-07-29T08:17:58;15;1
16;steel extra-large unsung;../fake-data/blob/hipster.txt;2026-07-30T05:00:49;2026-07-30T04:17:15;true;2026-07-29T14:16:07;16;2
17;freely;../fake-data/blob/hipster.txt;2026-07-29T13:06:21;2026-07-29T19:13:35;false;2026-07-29T13:23:21;17;1
18;tenant cuckoo wheel;../fake-data/blob/hipster.txt;2026-07-29T10:07:09;2026-07-30T01:51:41;false;2026-07-30T02:07:11;18;2
19;plumber;../fake-data/blob/hipster.txt;2026-07-29T15:43:36;2026-07-29T16:47:37;false;2026-07-29T22:58:30;19;1
20;boom;../fake-data/blob/hipster.txt;2026-07-30T00:49:58;2026-07-29T14:17:11;false;2026-07-29T09:01:33;20;2
21;frantically against;../fake-data/blob/hipster.txt;2026-07-29T21:54:04;2026-07-29T17:05:16;true;2026-07-30T07:20:01;21;2
22;whoa glittering if;../fake-data/blob/hipster.txt;2026-07-29T18:58:45;2026-07-29T08:20:54;true;2026-07-29T17:55:48;22;2
23;jubilantly usually than;../fake-data/blob/hipster.txt;2026-07-29T20:22:46;2026-07-30T03:36:38;true;2026-07-30T05:06:23;23;2
24;kindheartedly anenst;../fake-data/blob/hipster.txt;2026-07-30T03:48:02;2026-07-29T09:08:39;true;2026-07-29T23:20:12;24;2
25;hypothesise;../fake-data/blob/hipster.txt;2026-07-30T04:13:19;2026-07-29T16:09:04;true;2026-07-29T12:53:37;25;2
26;incidentally except;../fake-data/blob/hipster.txt;2026-07-29T22:11:45;2026-07-29T18:35:49;true;2026-07-30T02:35:43;26;1
27;than tidy boo;../fake-data/blob/hipster.txt;2026-07-29T17:25:26;2026-07-29T09:13:37;false;2026-07-30T07:17:57;27;2
28;whenever recent;../fake-data/blob/hipster.txt;2026-07-29T14:47:51;2026-07-29T17:22:19;true;2026-07-30T03:07:34;28;1
29;whoa oof;../fake-data/blob/hipster.txt;2026-07-30T00:34:34;2026-07-30T03:52:12;true;2026-07-29T10:26:05;29;1
30;etch;../fake-data/blob/hipster.txt;2026-07-29T20:48:51;2026-07-30T06:03:04;false;2026-07-29T12:59:04;30;1
