id;old_status;new_status;changed_date;ticket_id;changed_by_id
1;REJECTED;RESOLVED;2026-08-18T04:11:25;1;1
2;ASSIGNED;RESOLVED;2026-08-18T06:23:13;2;2
3;APPROVED;ASSIGNED;2026-08-17T20:05:53;3;1
4;ASSIGNED;RESOLVED;2026-08-17T13:20:25;4;1
5;REJECTED;UNDER_REVIEW;2026-08-17T20:08:21;5;1
6;CLOSED;UNDER_REVIEW;2026-08-17T10:38:27;6;2
7;UNDER_REVIEW;CLOSED;2026-08-17T15:14:47;7;1
8;CLOSED;OPEN;2026-08-17T14:32:57;8;1
9;OPEN;RESOLVED;2026-08-17T21:33:53;9;1
10;APPROVED;OPEN;2026-08-17T12:43:40;10;1
11;ASSIGNED;RESOLVED;2026-08-18T02:50:10;11;2
12;REJECTED;APPROVED;2026-08-17T21:49:42;12;1
13;ASSIGNED;RESOLVED;2026-08-18T02:25:18;13;2
14;CLOSED;OPEN;2026-08-18T09:47:02;14;1
15;ASSIGNED;OPEN;2026-08-17T14:43:17;15;1
16;APPROVED;IN_PROGRESS;2026-08-17T23:15:47;16;2
17;APPROVED;UNDER_REVIEW;2026-08-17T12:25:08;17;1
18;ASSIGNED;APPROVED;2026-08-18T01:08:40;18;1
19;RESOLVED;IN_PROGRESS;2026-08-18T01:59:34;19;1
20;UNDER_REVIEW;UNDER_REVIEW;2026-08-17T13:05:46;20;2
21;REJECTED;REJECTED;2026-08-18T10:02:48;21;2
22;IN_PROGRESS;ASSIGNED;2026-08-18T07:44:38;22;2
23;CLOSED;RESOLVED;2026-08-18T08:52:37;23;1
24;RESOLVED;APPROVED;2026-08-18T04:56:54;24;1
25;RESOLVED;ASSIGNED;2026-08-17T20:33:46;25;2
26;APPROVED;ASSIGNED;2026-08-18T07:43:50;26;2
27;RESOLVED;IN_PROGRESS;2026-08-17T17:29:45;27;1
28;RESOLVED;CLOSED;2026-08-18T06:06:52;28;2
29;RESOLVED;CLOSED;2026-08-17T17:11:10;29;1
30;UNDER_REVIEW;CLOSED;2026-08-17T21:38:59;30;1
