id;vote_type;created_date;ticket_id;user_id
1;UPVOTE;2026-07-30T07:32:14;1;1
2;DOWNVOTE;2026-07-29T22:40:03;2;2
3;DOWNVOTE;2026-07-29T21:34:50;3;1
4;DOWNVOTE;2026-07-29T15:14:58;4;2
5;UPVOTE;2026-07-30T06:23:39;5;2
6;UPVOTE;2026-07-29T16:35:26;6;2
7;DOWNVOTE;2026-07-29T18:40:40;7;1
8;DOWNVOTE;2026-07-30T03:04:55;8;1
9;DOWNVOTE;2026-07-29T17:16:56;9;2
10;DOWNVOTE;2026-07-29T14:25:24;10;1
11;DOWNVOTE;2026-07-30T02:44:20;11;2
12;UPVOTE;2026-07-30T01:27:58;12;1
13;UPVOTE;2026-07-29T22:59:40;13;1
14;DOWNVOTE;2026-07-29T14:11:07;14;1
15;DOWNVOTE;2026-07-30T05:10:59;15;2
16;DOWNVOTE;2026-07-29T22:45:14;16;2
17;UPVOTE;2026-07-30T02:43:05;17;2
18;DOWNVOTE;2026-07-30T06:54:37;18;1
19;DOWNVOTE;2026-07-30T03:41:48;19;1
20;UPVOTE;2026-07-29T09:20:01;20;2
21;UPVOTE;2026-07-30T04:28:36;21;2
22;UPVOTE;2026-07-29T17:57:19;22;1
23;DOWNVOTE;2026-07-30T02:06:48;23;1
24;UPVOTE;2026-07-30T00:09:02;24;2
25;UPVOTE;2026-07-29T08:54:59;25;1
26;DOWNVOTE;2026-07-29T20:27:54;26;1
27;DOWNVOTE;2026-07-29T14:30:36;27;1
28;DOWNVOTE;2026-07-30T00:30:42;28;1
29;DOWNVOTE;2026-07-30T00:13:54;29;1
30;UPVOTE;2026-07-29T16:31:00;30;1
