id;estimated_cost;started_date;expected_completion_date;actual_completion_date;completion_percentage;status;remarks;deleted;deleted_date;ticket_id;department_id
1;1931.31;2026-08-17T13:30:24;2026-08-17T20:21:53;2026-08-18T00:16:30;22;DELAYED;../fake-data/blob/hipster.txt;false;2026-08-17T10:32:05;1;1
2;8119.19;2026-08-17T23:01:04;2026-08-17T10:08:49;2026-08-18T05:17:59;89;ASSIGNED;../fake-data/blob/hipster.txt;true;2026-08-18T05:50:51;2;2
3;607.93;2026-08-18T05:15:22;2026-08-17T18:32:44;2026-08-17T16:36:30;48;COMPLETED;../fake-data/blob/hipster.txt;false;2026-08-17T10:39:15;3;3
4;29469.63;2026-08-17T20:14:15;2026-08-17T18:17:13;2026-08-17T16:23:09;90;ON_HOLD;../fake-data/blob/hipster.txt;false;2026-08-18T05:31:18;4;4
5;29074.54;2026-08-18T10:04:33;2026-08-18T00:18:04;2026-08-17T23:35:24;30;ACTIVE;../fake-data/blob/hipster.txt;true;2026-08-17T14:58:58;5;5
6;16499.21;2026-08-17T14:07:05;2026-08-18T09:40:34;2026-08-17T13:56:47;13;PLANNED;../fake-data/blob/hipster.txt;false;2026-08-18T03:19:11;6;6
7;23571.52;2026-08-17T14:52:39;2026-08-17T18:41:11;2026-08-18T03:11:44;95;CANCELLED;../fake-data/blob/hipster.txt;true;2026-08-18T04:13:42;7;7
8;28736.02;2026-08-18T01:14:42;2026-08-17T21:43:23;2026-08-18T02:43:19;4;ACTIVE;../fake-data/blob/hipster.txt;true;2026-08-18T08:45:58;8;8
9;2693.75;2026-08-18T00:06:22;2026-08-17T12:41:56;2026-08-18T01:25:17;74;COMPLETED;../fake-data/blob/hipster.txt;false;2026-08-17T13:18:38;9;9
10;5844.89;2026-08-18T09:09:26;2026-08-17T20:46:45;2026-08-17T19:43:19;54;PLANNED;../fake-data/blob/hipster.txt;false;2026-08-17T18:43:15;10;10
11;1340.01;2026-08-18T01:49:39;2026-08-17T21:59:57;2026-08-17T12:53:47;66;COMPLETED;../fake-data/blob/hipster.txt;false;2026-08-18T04:13:07;11;11
12;22267.65;2026-08-17T21:10:23;2026-08-18T04:40:58;2026-08-18T01:23:04;51;COMPLETED;../fake-data/blob/hipster.txt;true;2026-08-17T17:04:54;12;12
13;9397.25;2026-08-18T06:35:18;2026-08-18T07:31:44;2026-08-17T17:24:28;65;ACTIVE;../fake-data/blob/hipster.txt;false;2026-08-17T15:05:07;13;13
14;21090.09;2026-08-18T09:42:12;2026-08-18T01:52:49;2026-08-17T17:42:39;78;PLANNED;../fake-data/blob/hipster.txt;false;2026-08-17T20:30:38;14;14
15;25469.45;2026-08-18T04:14:44;2026-08-17T20:24:48;2026-08-17T18:57:49;97;ACTIVE;../fake-data/blob/hipster.txt;true;2026-08-17T17:14:55;15;15
16;3236.81;2026-08-17T23:26:35;2026-08-18T01:51:35;2026-08-17T22:59:45;37;DELAYED;../fake-data/blob/hipster.txt;true;2026-08-17T23:12:30;16;16
17;4145.69;2026-08-17T21:34:23;2026-08-18T06:36:55;2026-08-17T10:07:21;18;ACTIVE;../fake-data/blob/hipster.txt;false;2026-08-18T05:55:00;17;17
18;32213.86;2026-08-18T10:04:02;2026-08-18T02:16:16;2026-08-18T08:59:26;7;COMPLETED;../fake-data/blob/hipster.txt;true;2026-08-18T02:31:40;18;18
19;30057.94;2026-08-17T20:05:24;2026-08-17T17:48:16;2026-08-18T00:14:02;12;DELAYED;../fake-data/blob/hipster.txt;false;2026-08-17T18:08:23;19;19
20;22727.52;2026-08-17T22:44:51;2026-08-17T23:12:03;2026-08-18T05:58:19;86;CANCELLED;../fake-data/blob/hipster.txt;false;2026-08-17T19:42:24;20;20
21;16437.54;2026-08-18T05:11:49;2026-08-17T18:14:39;2026-08-18T05:37:13;82;CANCELLED;../fake-data/blob/hipster.txt;false;2026-08-18T06:34:57;21;21
22;5368.69;2026-08-18T05:27:17;2026-08-17T19:29:27;2026-08-18T04:42:01;46;PLANNED;../fake-data/blob/hipster.txt;false;2026-08-17T22:47:55;22;22
23;5182.5;2026-08-17T17:25:29;2026-08-17T21:01:18;2026-08-17T20:48:34;74;COMPLETED;../fake-data/blob/hipster.txt;true;2026-08-17T23:08:39;23;23
24;18699.58;2026-08-18T04:38:12;2026-08-18T01:27:58;2026-08-18T00:57:58;48;ON_HOLD;../fake-data/blob/hipster.txt;false;2026-08-18T02:50:48;24;24
25;8605.64;2026-08-18T09:45:09;2026-08-17T18:52:26;2026-08-17T17:41:48;44;ON_HOLD;../fake-data/blob/hipster.txt;false;2026-08-17T21:52:30;25;25
26;4289.47;2026-08-18T09:55:21;2026-08-17T15:13:23;2026-08-17T19:27:46;89;ACTIVE;../fake-data/blob/hipster.txt;true;2026-08-17T21:38:32;26;26
27;24644.99;2026-08-17T10:48:18;2026-08-17T22:51:22;2026-08-18T05:52:41;21;DELAYED;../fake-data/blob/hipster.txt;false;2026-08-17T12:23:07;27;27
28;17781.81;2026-08-18T05:57:29;2026-08-18T00:42:37;2026-08-18T01:42:51;54;COMPLETED;../fake-data/blob/hipster.txt;false;2026-08-17T20:21:00;28;28
29;18612.92;2026-08-18T07:05:11;2026-08-17T23:45:51;2026-08-17T22:05:55;13;COMPLETED;../fake-data/blob/hipster.txt;false;2026-08-18T08:52:36;29;29
30;9794.28;2026-08-17T14:29:48;2026-08-17T12:09:43;2026-08-17T21:09:44;36;ACTIVE;../fake-data/blob/hipster.txt;false;2026-08-18T02:10:17;30;30
