id;title;content;created_date;updated_date;deleted;deleted_date;ticket_id;user_id
1;devise inasmuch;../fake-data/blob/hipster.txt;2026-08-18T02:00:08;2026-08-17T18:40:41;false;2026-08-18T07:49:20;1;1
2;that for yahoo;../fake-data/blob/hipster.txt;2026-08-17T22:06:38;2026-08-17T23:06:34;true;2026-08-18T02:27:28;2;2
3;hourly fuss;../fake-data/blob/hipster.txt;2026-08-18T04:09:55;2026-08-17T22:33:53;false;2026-08-18T08:04:06;3;1
4;outside indolent besides;../fake-data/blob/hipster.txt;2026-08-18T08:58:37;2026-08-18T08:41:15;false;2026-08-17T16:23:44;4;1
5;brown an vice;../fake-data/blob/hipster.txt;2026-08-18T06:43:10;2026-08-17T11:25:44;true;2026-08-17T20:25:23;5;1
6;transom construe concerning;../fake-data/blob/hipster.txt;2026-08-18T05:54:13;2026-08-18T02:28:29;true;2026-08-17T12:03:32;6;2
7;coil championship;../fake-data/blob/hipster.txt;2026-08-17T22:17:34;2026-08-18T03:46:40;true;2026-08-18T04:47:53;7;2
8;ouch;../fake-data/blob/hipster.txt;2026-08-17T16:34:43;2026-08-17T19:51:31;true;2026-08-17T12:33:02;8;2
9;linseed kissingly slowly;../fake-data/blob/hipster.txt;2026-08-18T05:01:19;2026-08-18T09:09:17;false;2026-08-17T22:44:24;9;2
10;ceramics admonish;../fake-data/blob/hipster.txt;2026-08-18T01:54:40;2026-08-18T06:47:19;false;2026-08-18T02:19:46;10;1
11;atop;../fake-data/blob/hipster.txt;2026-08-18T06:04:13;2026-08-17T20:34:43;true;2026-08-17T14:52:06;11;2
12;thankfully er pish;../fake-data/blob/hipster.txt;2026-08-17T18:52:26;2026-08-18T01:12:37;true;2026-08-18T06:58:52;12;2
13;optimal bleakly;../fake-data/blob/hipster.txt;2026-08-17T23:03:38;2026-08-17T11:02:16;true;2026-08-17T10:52:46;13;1
14;personalise unethically;../fake-data/blob/hipster.txt;2026-08-18T02:30:25;2026-08-17T16:17:17;true;2026-08-17T22:21:05;14;1
15;knavishly blah concerned;../fake-data/blob/hipster.txt;2026-08-17T22:35:55;2026-08-17T21:29:01;false;2026-08-17T10:35:48;15;2
16;steel extra-large unsung;../fake-data/blob/hipster.txt;2026-08-18T07:18:39;2026-08-18T06:35:05;true;2026-08-17T16:33:57;16;1
17;freely;../fake-data/blob/hipster.txt;2026-08-17T15:24:11;2026-08-17T21:31:25;false;2026-08-17T15:41:11;17;1
18;tenant cuckoo wheel;../fake-data/blob/hipster.txt;2026-08-17T12:24:59;2026-08-18T04:09:31;false;2026-08-18T04:25:01;18;2
19;plumber;../fake-data/blob/hipster.txt;2026-08-17T18:01:26;2026-08-17T19:05:27;false;2026-08-18T01:16:20;19;1
20;boom;../fake-data/blob/hipster.txt;2026-08-18T03:07:48;2026-08-17T16:35:01;false;2026-08-17T11:19:23;20;1
21;frantically against;../fake-data/blob/hipster.txt;2026-08-18T00:11:54;2026-08-17T19:23:06;true;2026-08-18T09:37:51;21;2
22;whoa glittering if;../fake-data/blob/hipster.txt;2026-08-17T21:16:35;2026-08-17T10:38:44;true;2026-08-17T20:13:38;22;1
23;jubilantly usually than;../fake-data/blob/hipster.txt;2026-08-17T22:40:36;2026-08-18T05:54:28;true;2026-08-18T07:24:13;23;1
24;kindheartedly anenst;../fake-data/blob/hipster.txt;2026-08-18T06:05:52;2026-08-17T11:26:29;true;2026-08-18T01:38:02;24;1
25;hypothesise;../fake-data/blob/hipster.txt;2026-08-18T06:31:09;2026-08-17T18:26:54;true;2026-08-17T15:11:27;25;2
26;incidentally except;../fake-data/blob/hipster.txt;2026-08-18T00:29:35;2026-08-17T20:53:39;true;2026-08-18T04:53:33;26;2
27;than tidy boo;../fake-data/blob/hipster.txt;2026-08-17T19:43:16;2026-08-17T11:31:27;false;2026-08-18T09:35:47;27;2
28;whenever recent;../fake-data/blob/hipster.txt;2026-08-17T17:05:41;2026-08-17T19:40:09;true;2026-08-18T05:25:24;28;2
29;whoa oof;../fake-data/blob/hipster.txt;2026-08-18T02:52:24;2026-08-18T06:10:02;true;2026-08-17T12:43:55;29;2
30;etch;../fake-data/blob/hipster.txt;2026-08-17T23:06:41;2026-08-18T08:20:54;false;2026-08-17T15:16:54;30;2
