id;name;description;contact_email;contact_phone;active
1;pointless or considering;../fake-data/blob/hipster.txt;dramatize;improbable pleasing;true
2;ouch grizzled probe;../fake-data/blob/hipster.txt;circumnavigate providence;including rightfully;true
3;inside even;../fake-data/blob/hipster.txt;defiantly how pause;ugh;true
4;mismatch inure absent;../fake-data/blob/hipster.txt;insecure gleaming;abaft consequently;true
5;even;../fake-data/blob/hipster.txt;alongside haunting;consequently provide;true
6;leap partial regarding;../fake-data/blob/hipster.txt;gee ugh armoire;verbally;true
7;abaft honorable blah;../fake-data/blob/hipster.txt;publication since;forgo;false
8;victoriously quick seriously;../fake-data/blob/hipster.txt;whoa indeed;inside;false
9;huzzah jell;../fake-data/blob/hipster.txt;plumber;pantyhose;true
10;hungry reboot;../fake-data/blob/hipster.txt;fooey deeply;sadly unruly;false
11;augment whereas knavishly;../fake-data/blob/hipster.txt;mmm daintily really;next plump metallic;false
12;foolishly bore yippee;../fake-data/blob/hipster.txt;how unless disloyal;huzzah when;true
13;yawningly for;../fake-data/blob/hipster.txt;whoever near;sweet uh-huh;true
14;upsell triumphantly;../fake-data/blob/hipster.txt;toward;versus trouser switc;false
15;happy-go-lucky;../fake-data/blob/hipster.txt;generously ack log;so steep croon;false
16;misguided bah pepper;../fake-data/blob/hipster.txt;throughout;emulsify;false
17;oh;../fake-data/blob/hipster.txt;ostrich sermon;grass defrag after;true
18;sorrowful faraway;../fake-data/blob/hipster.txt;wherever utterly;times;false
19;yippee;../fake-data/blob/hipster.txt;rigid porter skeletal;sandbar whenever;false
20;meal rapidly hmph;../fake-data/blob/hipster.txt;aha intensely oh;approach tromp;false
21;barring whereas;../fake-data/blob/hipster.txt;off crushing;pause among soft;true
22;underpants;../fake-data/blob/hipster.txt;instead brr;publication across y;false
23;deeply quit yet;../fake-data/blob/hipster.txt;phew portray zowie;unique cantaloupe;true
24;deceivingly hospitable off;../fake-data/blob/hipster.txt;negotiation gasp;wilderness freckle g;true
25;floodlight;../fake-data/blob/hipster.txt;whoa delightfully;imagineer;false
26;ornate daintily ambitious;../fake-data/blob/hipster.txt;overconfidently plus;including so;true
27;since whoever;../fake-data/blob/hipster.txt;mozzarella spherical;wring instance;false
28;for;../fake-data/blob/hipster.txt;veto misspend;privilege;true
29;exterior judgementally dearly;../fake-data/blob/hipster.txt;allocation gifted well;woot diligently judi;true
30;loyalty under;../fake-data/blob/hipster.txt;misappropriate reclassify;pale brightly hole;false
