id;vote_type;created_date;ticket_id;user_id
1;UPVOTE;2026-08-18T09:50:04;1;1
2;DOWNVOTE;2026-08-18T00:57:53;2;2
3;DOWNVOTE;2026-08-17T23:52:40;3;1
4;DOWNVOTE;2026-08-17T17:32:48;4;2
5;UPVOTE;2026-08-18T08:41:29;5;1
6;UPVOTE;2026-08-17T18:53:16;6;1
7;DOWNVOTE;2026-08-17T20:58:30;7;2
8;DOWNVOTE;2026-08-18T05:22:45;8;1
9;DOWNVOTE;2026-08-17T19:34:46;9;1
10;DOWNVOTE;2026-08-17T16:43:14;10;2
11;DOWNVOTE;2026-08-18T05:02:10;11;2
12;UPVOTE;2026-08-18T03:45:48;12;2
13;UPVOTE;2026-08-18T01:17:30;13;1
14;DOWNVOTE;2026-08-17T16:28:57;14;1
15;DOWNVOTE;2026-08-18T07:28:49;15;2
16;DOWNVOTE;2026-08-18T01:03:04;16;2
17;UPVOTE;2026-08-18T05:00:55;17;2
18;DOWNVOTE;2026-08-18T09:12:27;18;1
19;DOWNVOTE;2026-08-18T05:59:38;19;1
20;UPVOTE;2026-08-17T11:37:51;20;1
21;UPVOTE;2026-08-18T06:46:26;21;1
22;UPVOTE;2026-08-17T20:15:09;22;1
23;DOWNVOTE;2026-08-18T04:24:38;23;1
24;UPVOTE;2026-08-18T02:26:52;24;2
25;UPVOTE;2026-08-17T11:12:49;25;2
26;DOWNVOTE;2026-08-17T22:45:44;26;2
27;DOWNVOTE;2026-08-17T16:48:26;27;2
28;DOWNVOTE;2026-08-18T02:48:32;28;2
29;DOWNVOTE;2026-08-18T02:31:44;29;1
30;UPVOTE;2026-08-17T18:48:50;30;2
